JobTypeFormAnswerId,JobTypeFormQuestionId,Description,CreatedOn,CreatedBy,StatusId,ModifiedOn,ModifiedBy,LinkedJobTypeId,SortOrder,ColorCodeId,ActionsRequired,,,,,,,,,,,,,,
1532,626,Yes,19/5/2021 22:21,6808,1,19/5/2021 22:22,0,0,1,0,NULL,,,,,,,,,,,,,,
1533,626,No,19/5/2021 22:22,6808,1,19/5/2021 22:22,0,0,2,0,NULL,,,,,,,,,,,,,,
1534,627,(a) The external door(s) is/are not able to be secured with a functioning deadlock,19/5/2021 22:26,6808,1,22/8/2024 5:34,0,0,1,0,,,,,,,,,,,,,,,
1535,627,(b) Another Act or law provides for a different type of lock or device,19/5/2021 22:26,6808,1,22/8/2024 5:34,0,0,2,0,,,,,,,,,,,,,,,
1536,627,(c) The external door cannot be accessed because of another security barrier,19/5/2021 22:26,6808,1,22/8/2024 5:34,0,0,3,0,,,,,,,,,,,,,,,
1537,628,Yes,19/5/2021 22:44,6808,1,19/5/2021 22:44,0,0,1,0,NULL,,,,,,,,,,,,,,
1538,628,No,19/5/2021 22:44,6808,1,19/5/2021 22:44,0,0,2,0,NULL,,,,,,,,,,,,,,
1539,629,(a) The external door(s) is a public lobby door that opens to common property,21/5/2021 1:40,138306,1,22/8/2024 5:35,0,0,1,0,,,,,,,,,,,,,,,
1540,629,(b) the rented premises is a registered place and a request for a permit to alter the relevant features of the premises to comply with this standard has been refused in accordance with Part 5 of the Heritage Act 2017.,21/5/2021 1:41,138306,1,22/8/2024 5:35,0,0,2,0,,,,,,,,,,,,,,,
1541,631,Yes,21/5/2021 1:43,138306,1,21/5/2021 1:43,0,0,1,0,NULL,,,,,,,,,,,,,,
1542,631,No,21/5/2021 1:43,138306,1,21/5/2021 1:43,0,0,2,0,NULL,,,,,,,,,,,,,,
1543,632,Yes,21/5/2021 1:45,138306,1,21/5/2021 1:45,0,0,1,0,NULL,,,,,,,,,,,,,,
1544,632,No,21/5/2021 1:45,138306,1,21/5/2021 1:45,0,0,2,0,NULL,,,,,,,,,,,,,,
1550,635,Yes,26/5/2021 22:56,188655,1,26/5/2021 22:57,0,0,1,0,NULL,,,,,,,,,,,,,,
1551,635,No,26/5/2021 22:56,188655,1,26/5/2021 22:57,0,0,2,0,NULL,,,,,,,,,,,,,,
