JobTypeFormQuestionId,Description,CreatedOn,CreatedBy,StatusId,ModifiedOn,ModifiedBy,AnswerFormat,Required,PlaceHolder,SortOrder,ValidationMessage,JobTypeFormId,Config,GroupNo,Field,Col,HelpUrl,DefaultText,JobTypeFormSectionId
626,"1. Deadlocks are fitted to all external doors (all external doors other than any screen door attached to an external door) If ""Yes"" jump to Question 2",19/5/2021 22:21,0,1,22/8/2024 5:36,194664,radioboxlist,1,,1,,70,,61,NULL,0,NULL,NULL,0
627,"If ""No"" select reason",19/5/2021 22:26,0,1,22/8/2024 5:36,194664,radioboxlist,0,,2,,70,,61,NULL,0,NULL,NULL,0
628,"2. Do the locks on external doors secure the premises? If ""Yes"" jump to question 3",19/5/2021 22:43,0,1,22/8/2024 5:36,194664,radioboxlist,1,,3,,70,,61,NULL,0,NULL,NULL,0
629,"If ""No"" select reason",19/5/2021 22:45,0,1,22/8/2024 5:36,194664,radioboxlist,0,,4,,70,,61,NULL,0,NULL,NULL,0
631,"Is there a rubbish bin for use by the renter, either provided by the local council, or vermin proof and compatible with local council collection?",21/5/2021 1:43,0,1,22/8/2024 5:36,194664,radioboxlist,1,,5,,70,,62,NULL,0,NULL,NULL,0
632,"Is there a recycling bin for use by the renter, either provided by the local council, or vermin proof and compatible with local council collection?",21/5/2021 1:44,0,1,22/8/2024 5:36,194664,radioboxlist,1,,6,,70,,62,NULL,0,NULL,NULL,0
633,Is there a toilet in good working order in the rented premises connected to;,26/5/2021 22:30,0,1,22/8/2024 5:36,194664,radioboxlist,1,,7,,70,,63,NULL,0,NULL,NULL,0
641,(a) A reticulated sewerage system,29/5/2021 20:27,0,1,22/8/2024 5:36,194664,radioboxlist,1,,8,,70,,63,NULL,0,NULL,NULL,0
642,"(b) a wastewater treatment system permitted under the Code of practice - onsite wastewater management, published under the Environment Protection Act 1970?",29/5/2021 20:29,0,1,22/8/2024 5:36,194664,radioboxlist,1,,9,,70,,63,NULL,0,NULL,NULL,0
643,(c) a system approved by the local council?,29/5/2021 20:31,0,1,22/8/2024 5:36,194664,radioboxlist,1,,10,,70,,63,NULL,0,NULL,NULL,0
634,Is the toilet that is in good working order:,26/5/2021 22:54,0,1,22/8/2024 5:36,194664,radioboxlist,1,,11,,70,,63,NULL,0,NULL,NULL,0
644,"(a) in a room that is intended to be used as a toilet area, whether as a separate toilet or combined bathroom and laundry?",29/5/2021 20:34,0,1,22/8/2024 5:36,194664,radioboxlist,1,,12,,70,,63,NULL,0,NULL,NULL,0
645,(b) in a separate enclosed structure that is intended to be used as a toilet area?,29/5/2021 20:35,0,1,22/8/2024 5:36,194664,radioboxlist,1,,13,,70,,63,NULL,0,NULL,NULL,0
635,Is there a bathroom in the rented premises connected to a reasonable supply of hot and cold water and containing a washbasin and a shower or bath?,26/5/2021 22:56,0,1,22/8/2024 5:36,194664,radioboxlist,1,,14,,70,,64,NULL,0,NULL,NULL,0
636,If there is a shower present with a shower head does it have a 3-star rating under the WELS scheme in the Water Efficiency Labelling and Standards Act 2005?,26/5/2021 22:58,0,1,22/8/2024 5:36,194664,radioboxlist,1,,15,,70,,64,NULL,0,NULL,NULL,0
637,"If there is a shower present does it have a shower head with a 1 or 2 star rating because one with a 3 star rating cannot be installed, or if installed will not operate effectively due to the age, nature or structure of the plumbing?",26/5/2021 23:00,0,1,22/8/2024 5:36,194664,radioboxlist,1,,16,,70,,64,NULL,0,NULL,NULL,0
646,(1) Does the rented premises have:,29/5/2021 20:40,0,1,22/8/2024 5:36,194664,checkboxlist,0,,17,,70,,65,NULL,0,NULL,NULL,0
647,(a) a dedicated area intended to be used for cooking and food preparation?,29/5/2021 20:41,0,1,22/8/2024 5:36,194664,radioboxlist,1,,18,,70,,65,NULL,0,NULL,NULL,0
648,(b) a sink in good working order that is connected to a reasonable supply of hot and cold water?,29/5/2021 20:41,0,1,22/8/2024 5:36,194664,radioboxlist,1,,19,,70,,65,NULL,0,NULL,NULL,0
649,(c) a cooktop in good working order that has 2 or more burners.,29/5/2021 20:42,0,1,22/8/2024 5:36,194664,radioboxlist,1,,20,,70,,65,NULL,0,NULL,NULL,0
651,(d) If the rented premises does not have the above kitchen facilities is it because the premises is a registered place and a permit to include the facilities was refused under the Heritage Act 2017.,29/5/2021 20:43,0,1,22/8/2024 5:36,194664,radioboxlist,1,,21,,70,,65,NULL,0,NULL,NULL,0
652,"(2) If there is an oven at the rented premises, is it in good working order?",29/5/2021 20:44,0,1,22/8/2024 5:36,194664,radioboxlist,1,,22,,70,,65,NULL,0,NULL,NULL,0
